[2025-08-11T12:10:25.223Z] [INFO] 🚀 Starting trigger migration...
[2025-08-11T12:10:25.240Z] [INFO] 🔌 Connecting to local database...
[2025-08-11T12:10:25.293Z] [INFO] ✅ Connected to local database
[2025-08-11T12:10:25.294Z] [INFO] 🔌 Connecting to production database...
[2025-08-11T12:10:25.525Z] [INFO] ✅ Connected to production database
[2025-08-11T12:10:25.526Z] [INFO] 🏗️ Creating trigger functions in production...
[2025-08-11T12:10:25.526Z] [INFO] 🔍 Getting trigger functions from local database...
[2025-08-11T12:10:25.852Z] [INFO] Found 12 trigger functions
[2025-08-11T12:10:25.938Z] [INFO]   ✅ Created function: audit_data_changes
[2025-08-11T12:10:26.007Z] [ERROR]   ❌ Error creating function pg_extension_update_paths: permission denied for schema pg_catalog
[2025-08-11T12:10:26.072Z] [ERROR]   ❌ Error creating function pg_stat_get_db_tuples_updated: permission denied for schema pg_catalog
[2025-08-11T12:10:26.163Z] [ERROR]   ❌ Error creating function pg_stat_get_tuples_hot_updated: permission denied for schema pg_catalog
[2025-08-11T12:10:26.253Z] [ERROR]   ❌ Error creating function pg_stat_get_tuples_updated: permission denied for schema pg_catalog
[2025-08-11T12:10:26.322Z] [ERROR]   ❌ Error creating function pg_stat_get_xact_tuples_hot_updated: permission denied for schema pg_catalog
[2025-08-11T12:10:26.387Z] [ERROR]   ❌ Error creating function pg_stat_get_xact_tuples_updated: permission denied for schema pg_catalog
[2025-08-11T12:10:26.456Z] [ERROR]   ❌ Error creating function suppress_redundant_updates_trigger: permission denied for schema pg_catalog
[2025-08-11T12:10:26.526Z] [ERROR]   ❌ Error creating function tsvector_update_trigger: permission denied for schema pg_catalog
[2025-08-11T12:10:26.594Z] [ERROR]   ❌ Error creating function tsvector_update_trigger_column: permission denied for schema pg_catalog
[2025-08-11T12:10:26.660Z] [INFO]   ✅ Created function: update_last_modified_column
[2025-08-11T12:10:26.726Z] [INFO]   ✅ Created function: update_updated_at_column
[2025-08-11T12:10:26.726Z] [INFO] ✅ Functions created: 3/12
[2025-08-11T12:10:26.728Z] [INFO] ⚡ Migrating triggers...
[2025-08-11T12:10:26.819Z] [WARNING]   ⚠️ Could not create trigger audit_balance_sheet_data_changes: syntax error at or near "ROW"
[2025-08-11T12:10:26.882Z] [WARNING]   ⚠️ Could not create trigger audit_balance_sheet_data_changes: syntax error at or near "ROW"
